ENZYMES;ENZYMES;['add_self_loops', 'sym_normalise_A'];True;50;0.34900000393390657;0.038065734916862604;100.96186192035675;2.0262584386011016;[0.32999999821186066, 0.3100000023841858, 0.4300000071525574, 0.3500000089406967, 0.35999999940395355, 0.3199999928474426, 0.4000000059604645, 0.3100000023841858, 0.36000001430511475, 0.3200000077486038];[104.71840524673462, 99.75258994102478, 97.83636975288391, 98.79340410232544, 99.69544744491577, 100.41499447822571, 100.74734115600586, 101.62037515640259, 102.7376754283905, 103.30201649665833]
MUTAG;MUTAG;['add_self_loops', 'sym_normalise_A'];True;50;0.8453801155090332;0.06866897976251479;82.58522300720215;0.6941055831169431;[0.949999988079071, 0.8999999761581421, 0.75, 0.8421052694320679, 0.7894737124443054, 0.8333333134651184, 0.9444444179534912, 0.8888888955116272, 0.7777777910232544, 0.7777777910232544];[82.30524635314941, 82.42625546455383, 83.19115447998047, 82.65986752510071, 82.19020366668701, 83.73846101760864, 83.71984720230103, 81.91752934455872, 82.00436925888062, 81.69929575920105]
NCI1;NCI-1;['add_self_loops', 'sym_normalise_A'];True;50;0.6953333351347182;0.03688420241817124;186.51698079109192;1.9385996314910885;[0.6955555544959174, 0.7088888949818082, 0.7400000095367432, 0.6488888925976224, 0.6733333402209811, 0.7355555560853746, 0.6688888867696127, 0.7533333235316806, 0.6888888941870795, 0.6399999989403619];[183.07158994674683, 184.3068995475769, 185.19030451774597, 185.61432719230652, 186.25685620307922, 186.59669303894043, 188.40608406066895, 187.45195984840393, 189.13937163352966, 189.13572192192078]
NCI109;NCI-109;['add_self_loops', 'sym_normalise_A'];True;50;0.6924444509877099;0.032206126781360894;190.82449827194213;1.959343453734761;[0.6733333402209811, 0.6733333335982429, 0.717777795261807, 0.7200000087420145, 0.7533333367771573, 0.7222222288449606, 0.6577777928776212, 0.6755555537011888, 0.6844444473584493, 0.6466666724946764];[189.84220910072327, 188.13002061843872, 190.35947275161743, 187.56444907188416, 193.10565447807312, 191.12955379486084, 192.43833184242249, 190.934387922287, 190.55004143714905, 194.19086170196533]
PTC_MM;PTC-MM;['add_self_loops', 'sym_normalise_A'];True;50;0.6360906898975373;0.07045033876811313;96.73872289657592;1.3056019113894883;[0.6176470518112183, 0.6470588445663452, 0.6176470518112183, 0.5882353186607361, 0.7352941036224365, 0.6470588445663452, 0.7058823704719543, 0.6969696879386902, 0.6363636255264282, 0.46875];[95.3544762134552, 95.69491147994995, 95.06581139564514, 95.66051197052002, 97.58907723426819, 97.16412830352783, 96.30970287322998, 97.61863446235657, 97.40273594856262, 99.52723908424377]
PTC_FM;PTC-FM;['add_self_loops', 'sym_normalise_A'];True;50;0.6130859136581421;0.049660997005221766;100.50492839813232;1.4802427047613091;[0.6666666865348816, 0.6666666865348816, 0.5277777910232544, 0.6000000238418579, 0.6285714507102966, 0.6000000238418579, 0.6764705777168274, 0.5588235259056091, 0.6470588445663452, 0.5588235259056091];[99.3224835395813, 99.51400017738342, 98.90042018890381, 99.87809491157532, 98.61420202255249, 100.99232363700867, 100.56534361839294, 102.16827058792114, 103.45267724990845, 101.6414680480957]
PTC_MR;PTC-MR;['add_self_loops', 'sym_normalise_A'];True;50;0.5782679826021194;0.06801960605697559;102.11521756649017;0.9878336224217071;[0.6111111044883728, 0.5833333134651184, 0.5882353186607361, 0.6470588445663452, 0.6470588445663452, 0.47058823704719543, 0.6470588445663452, 0.44117647409439087, 0.5882353186607361, 0.5588235259056091];[102.24235129356384, 101.11399245262146, 103.25039172172546, 101.59019041061401, 100.3986988067627, 101.04781031608582, 103.05292534828186, 102.21060991287231, 102.82983660697937, 103.4153687953949]
PTC_FR;PTC-FR;['add_self_loops', 'sym_normalise_A'];True;50;0.65809525847435;0.025714284181594847;106.66277339458466;2.9092579408834096;[0.6666666865348816, 0.6571428775787354, 0.6857143044471741, 0.6857143044471741, 0.6571428775787354, 0.6571428775787354, 0.6000000238418579, 0.6571428775787354, 0.6857143044471741, 0.6285714507102966];[105.4845359325409, 103.14345717430115, 105.54008626937866, 104.30649876594543, 106.7161636352539, 106.55317759513855, 108.1841151714325, 108.08329892158508, 114.08877182006836, 104.52762866020203]
ENZYMES;ENZYMES;['add_self_loops', 'sym_normalise_A'];False;50;0.267000000923872;0.0445084284002738;126.90163617134094;2.4389289318121845;[0.25999999791383743, 0.2900000065565109, 0.20000000298023224, 0.3400000035762787, 0.25999999791383743, 0.3200000077486038, 0.2499999925494194, 0.3100000023841858, 0.2199999988079071, 0.2199999988079071];[124.17380046844482, 124.98502326011658, 123.69055104255676, 125.29081463813782, 127.06678676605225, 125.60106587409973, 128.9269597530365, 127.93839168548584, 130.40280723571777, 130.94016098976135]
MUTAG;MUTAG;['add_self_loops', 'sym_normalise_A'];False;50;0.8803216338157653;0.07882489880923967;109.74197390079499;1.4399929487189826;[0.949999988079071, 1.0, 0.8999999761581421, 0.8947368264198303, 0.9473684430122375, 0.8333333134651184, 0.7777777910232544, 0.7777777910232544, 0.9444444179534912, 0.7777777910232544];[107.03172755241394, 108.10176968574524, 109.33289122581482, 110.95488715171814, 111.48056364059448, 111.41173529624939, 110.84638357162476, 109.12805938720703, 108.67363214492798, 110.45808935165405]
NCI1;NCI-1;['add_self_loops', 'sym_normalise_A'];False;50;0.723777778281106;0.02683373449770328;221.74975907802582;2.98520344683902;[0.6955555611186557, 0.6866666674613953, 0.7666666640175713, 0.6999999947018094, 0.7333333359824287, 0.7133333285649618, 0.7399999962912666, 0.7666666640175713, 0.7066666748788621, 0.7288888957765367];[215.92180013656616, 219.3291916847229, 221.48807430267334, 218.49659824371338, 221.07987451553345, 222.30083227157593, 224.15994787216187, 225.75547909736633, 223.74421453475952, 225.2215781211853]
NCI109;NCI-109;['add_self_loops', 'sym_normalise_A'];False;50;0.7084444502989451;0.019995058669624;230.17939579486847;1.3657112933368218;[0.6755555603239272, 0.7177777820163302, 0.69777778784434, 0.7044444547759162, 0.748888889948527, 0.69777778784434, 0.7222222222222222, 0.7200000021192763, 0.7155555619133843, 0.6844444539811876];[228.55379700660706, 230.32484793663025, 231.42694735527039, 229.81656169891357, 230.54140496253967, 229.01545810699463, 228.23660349845886, 232.90857887268066, 231.322909116745, 229.6468493938446]
PTC_MM;PTC-MM;['add_self_loops', 'sym_normalise_A'];False;50;0.6518215298652649;0.06306460124340692;127.30873122215272;1.7029306997466143;[0.6470588445663452, 0.6764705777168274, 0.6764705777168274, 0.6176470518112183, 0.6470588445663452, 0.7058823704719543, 0.6470588445663452, 0.6969696879386902, 0.4848484992980957, 0.71875];[125.6326847076416, 124.1471381187439, 126.07860946655273, 126.65966725349426, 128.7799928188324, 126.78979015350342, 127.80615186691284, 129.95026087760925, 127.86168670654297, 129.38133025169373]
PTC_FM;PTC-FM;['add_self_loops', 'sym_normalise_A'];False;50;0.6068020671606064;0.05188080088209281;130.31352248191834;1.6867409400775752;[0.6666666865348816, 0.6666666865348816, 0.6388888955116272, 0.48571428656578064, 0.6285714507102966, 0.6285714507102966, 0.5882353186607361, 0.5588235259056091, 0.6176470518112183, 0.5882353186607361];[130.66293668746948, 129.6499891281128, 128.90041422843933, 126.86530494689941, 130.24355220794678, 131.43667459487915, 129.05867266654968, 131.7746067047119, 133.09557628631592, 131.4474973678589]
PTC_MR;PTC-MR;['add_self_loops', 'sym_normalise_A'];False;50;0.5839869290590286;0.08850177521648712;136.15307040214537;1.9490909221939579;[0.5, 0.7222222089767456, 0.7058823704719543, 0.5882353186607361, 0.5588235259056091, 0.47058823704719543, 0.5, 0.6764705777168274, 0.5, 0.6176470518112183];[133.53509712219238, 134.08982920646667, 134.27367544174194, 135.2085919380188, 137.52599835395813, 134.22086715698242, 138.16895079612732, 138.69574236869812, 137.62137866020203, 138.19057297706604]
PTC_FR;PTC-FR;['add_self_loops', 'sym_normalise_A'];False;50;0.6409524023532868;0.050223985095694014;141.716631937027;2.539407679736389;[0.6666666865348816, 0.6000000238418579, 0.6000000238418579, 0.6571428775787354, 0.6285714507102966, 0.6285714507102966, 0.7142857313156128, 0.5428571701049805, 0.7142857313156128, 0.6571428775787354];[138.13218235969543, 138.52426886558533, 140.94632411003113, 141.37683725357056, 139.88440799713135, 142.54515647888184, 142.96479630470276, 141.5137825012207, 144.16946959495544, 147.10909390449524]
ENZYMES;ENZYMES;['sym_normalise_A'];True;50;0.17000000327825546;0.01341640895345256;165.43455634117126;1.6689467404687155;[0.1900000050663948, 0.17000000178813934, 0.17000000178813934, 0.18000000715255737, 0.1600000038743019, 0.17999999970197678, 0.14000000059604645, 0.17000000178813934, 0.18000000715255737, 0.1600000038743019];[166.75195860862732, 163.04547929763794, 166.02051758766174, 165.5248682498932, 162.83516693115234, 163.9040548801422, 165.66693782806396, 168.48813033103943, 165.41644191741943, 166.69200778007507]
MUTAG;MUTAG;['sym_normalise_A'];True;50;0.3348245620727539;0.011944329236575003;145.6372466802597;4.440213638187517;[0.3499999940395355, 0.3499999940395355, 0.3499999940395355, 0.31578946113586426, 0.31578946113586426, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408];[142.66124892234802, 146.21728706359863, 144.91139340400696, 146.84846258163452, 147.1479423046112, 157.7137095928192, 143.5265176296234, 143.54392862319946, 141.16325974464417, 142.63871693611145]
