dataset;batch_size;mean_acc;acc_std;mean_train_time(s);time_std;all_accs;all_times
MUTAG;20;0.8211988270282745;0.09411345482930655;2.8079636812210085;0.17891101768082454;[0.6000000238418579, 0.8999999761581421, 0.75, 0.7894737124443054, 0.8947368264198303, 0.8333333134651184, 0.8333333134651184, 0.8888888955116272, 0.7777777910232544, 0.9444444179534912];[2.6228435039520264, 2.5189549922943115, 2.6779353618621826, 2.6628878116607666, 2.814976453781128, 2.8578851222991943, 2.9507670402526855, 2.9047939777374268, 2.9126851558685303, 3.155907392501831]
MUTAG;50;0.8509064257144928;0.09022601833446872;4.386525273323059;0.49225772209405877;[0.949999988079071, 0.800000011920929, 0.800000011920929, 0.8421052694320679, 0.8947368264198303, 1.0, 0.7222222089767456, 0.9444444179534912, 0.8333333134651184, 0.7222222089767456];[4.181168794631958, 4.053487062454224, 3.9728307723999023, 4.085559368133545, 3.9792654514312744, 4.101331949234009, 4.1963605880737305, 5.285349130630493, 4.729063272476196, 5.280836343765259]
MUTAG;100;0.8370467841625213;0.0883552061334921;6.206565356254577;0.618355914050708;[0.8999999761581421, 0.6499999761581421, 0.800000011920929, 0.8421052694320679, 0.7894737124443054, 0.8333333134651184, 1.0, 0.8888888955116272, 0.8888888955116272, 0.7777777910232544];[5.644314527511597, 5.6523966789245605, 5.975163698196411, 5.9322264194488525, 6.122811555862427, 6.057568073272705, 6.123047828674316, 6.04820990562439, 6.617743015289307, 7.892171859741211]
NCI1;20;0.6559523808104653;0.023696156458000255;62.92877051830292;0.7259778342903518;[0.6738095198358808, 0.6809523758434114, 0.6928571434248061, 0.6238095249448504, 0.6380952397982279, 0.6261904793126243, 0.6642857108797345, 0.6595238106591361, 0.6714285697255816, 0.6285714336803981];[62.981550455093384, 62.45492148399353, 63.19491386413574, 62.84138369560242, 63.15850210189819, 63.32077693939209, 61.80431866645813, 62.31053805351257, 62.56580328941345, 64.65499663352966]
NCI1;50;0.6535555601119996;0.018841772794824203;43.93044548034668;0.9085777152217873;[0.6511111127005683, 0.6577777862548828, 0.6444444457689921, 0.6511111127005683, 0.6911111142900255, 0.6688889000150893, 0.6488888992203606, 0.6688888933923509, 0.6199999981456332, 0.633333338631524];[44.548927545547485, 42.90282344818115, 43.25308084487915, 43.78653335571289, 43.45048666000366, 43.153895139694214, 44.271509408950806, 44.23843479156494, 43.507067918777466, 46.19169569015503]
NCI1;100;0.663199998140335;0.01716275241496845;40.612173438072205;1.3645688081385798;[0.6740000009536743, 0.6620000123977661, 0.6919999957084656, 0.6679999947547912, 0.6679999947547912, 0.6659999966621399, 0.6800000071525574, 0.6379999995231629, 0.649999988079071, 0.6339999914169312];[39.90279006958008, 38.80033850669861, 39.540213108062744, 39.31550192832947, 39.023919105529785, 42.20454287528992, 42.56461310386658, 41.63897252082825, 41.20337152481079, 41.92747163772583]
PROTEINS;20;0.7308333327372868;0.05810072776907601;90.33256278038024;5.706544406532214;[0.8000000019868215, 0.7416666547457377, 0.6666666666666666, 0.7333333392937978, 0.7416666646798452, 0.7500000099341074, 0.6333333353201548, 0.8416666686534882, 0.6833333273728689, 0.7166666587193807];[87.74653172492981, 88.76099228858948, 105.09132099151611, 90.37343978881836, 88.42133498191833, 94.55893301963806, 85.92777228355408, 91.08184766769409, 83.04285049438477, 88.3206045627594]
PROTEINS;50;0.7273333330949148;0.04983973925806059;105.93375086784363;4.744108763259286;[0.7599999904632568, 0.6933333476384481, 0.7799999912579855, 0.6466666658719381, 0.7266666690508524, 0.6600000063578287, 0.7933333317438761, 0.753333330154419, 0.7733333309491476, 0.6866666674613953];[105.41516447067261, 106.96914625167847, 107.01717853546143, 111.14923620223999, 109.76761269569397, 108.55253481864929, 108.83951711654663, 98.14620733261108, 107.63690853118896, 95.84400272369385]
PROTEINS;100;0.735999995470047;0.04973931263182704;122.63868110179901;4.487000376822437;[0.7849999964237213, 0.7649999856948853, 0.7450000047683716, 0.7649999856948853, 0.675000011920929, 0.7749999761581421, 0.7549999952316284, 0.6200000047683716, 0.7649999856948853, 0.7100000083446503];[115.9853527545929, 122.13513946533203, 114.41270136833191, 124.31900262832642, 129.60738492012024, 128.35968375205994, 121.83268666267395, 124.71610140800476, 122.38746905326843, 122.63128900527954]
PTC_MM;20;0.6549999952316284;0.07314368901703752;8.376677680015565;0.48458230276794556;[0.6749999821186066, 0.699999988079071, 0.6749999821186066, 0.7249999940395355, 0.5250000059604645, 0.5999999940395355, 0.7249999940395355, 0.75, 0.625, 0.550000011920929];[7.81414532661438, 7.651317358016968, 7.639865875244141, 8.462807178497314, 8.233176946640015, 8.895272493362427, 8.575961589813232, 8.809224843978882, 8.792652606964111, 8.89235258102417]
PTC_MM;50;0.6547682702541351;0.07388855925951202;8.15263524055481;0.4744544473364587;[0.6764705777168274, 0.6764705777168274, 0.6764705777168274, 0.6176470518112183, 0.7352941036224365, 0.7058823704719543, 0.5882353186607361, 0.4848484992980957, 0.6363636255264282, 0.75];[7.579850196838379, 7.50869083404541, 7.618679046630859, 7.822270393371582, 7.983545780181885, 8.557657480239868, 8.392859935760498, 8.685433149337769, 8.63787317276001, 8.739492416381836]
PTC_MM;100;0.6692736268043518;0.03883505941211657;11.459625029563904;0.6136714474040087;[0.6176470518112183, 0.6470588445663452, 0.7352941036224365, 0.6470588445663452, 0.7058823704719543, 0.7058823704719543, 0.7058823704719543, 0.6363636255264282, 0.6666666865348816, 0.625];[10.822338104248047, 11.56818175315857, 10.990582704544067, 11.199866771697998, 10.897977590560913, 11.027745246887207, 11.754244804382324, 11.248934268951416, 12.344256401062012, 12.742122650146484]
PTC_FM;20;0.5975000068545342;0.07701460796860335;13.167937064170838;0.8276662073684974;[0.5750000178813934, 0.5750000178813934, 0.675000011920929, 0.625, 0.4750000089406967, 0.75, 0.574999988079071, 0.5750000178813934, 0.6500000059604645, 0.5];[12.201809644699097, 11.942089796066284, 12.209313869476318, 12.562049150466919, 13.309155464172363, 13.799561023712158, 13.82022476196289, 13.393163681030273, 14.308074951171875, 14.133928298950195]
PTC_FM;50;0.5960831105709076;0.0807817390300391;14.004516530036927;0.6414609741439374;[0.6111111044883728, 0.4722222089767456, 0.6111111044883728, 0.5428571701049805, 0.6000000238418579, 0.800000011920929, 0.529411792755127, 0.5882353186607361, 0.6176470518112183, 0.5882353186607361];[12.425689220428467, 14.05179238319397, 14.587562322616577, 13.81121826171875, 13.535889148712158, 13.973314762115479, 14.041180610656738, 14.249870300292969, 14.550011396408081, 14.818636894226074]
PTC_FM;100;0.5925723761320114;0.059355005130458896;17.24725031852722;0.6435937886751198;[0.5555555820465088, 0.6111111044883728, 0.6388888955116272, 0.6571428775787354, 0.6000000238418579, 0.6571428775787354, 0.5588235259056091, 0.529411792755127, 0.6470588445663452, 0.47058823704719543];[16.307623624801636, 16.50306749343872, 16.815857648849487, 16.757320642471313, 17.116859436035156, 17.388948440551758, 17.37040114402771, 17.7190420627594, 18.304544925689697, 18.18883776664734]
NCI109;20;0.6583333330495016;0.03092031287930727;62.164474320411685;3.3209289966244735;[0.5952380952380952, 0.6285714322612399, 0.6809523786817279, 0.6976190436454046, 0.6880952375275748, 0.6714285697255816, 0.678571431409745, 0.6261904722168332, 0.6666666751816159, 0.6499999946071988];[59.33135509490967, 58.95994186401367, 68.13344359397888, 67.12462615966797, 59.470102310180664, 62.147953033447266, 65.7959578037262, 60.043485164642334, 60.30846548080444, 60.32941269874573]
NCI109;50;0.6468888961606555;0.024332065217188406;41.79460415840149;0.34362865389237157;[0.6288888884915246, 0.5888888968361748, 0.6444444523917304, 0.6533333394262526, 0.6777777804268731, 0.6777777936723497, 0.6555555529064603, 0.6577777862548828, 0.6377777920828925, 0.6466666791174147];[41.694342613220215, 41.275615215301514, 41.43055534362793, 41.74221873283386, 41.727336406707764, 41.62320685386658, 41.92995023727417, 41.75497889518738, 42.289698123931885, 42.4781391620636]
NCI109;100;0.6407999980449677;0.029355748921390964;38.580668044090274;0.5493781902851195;[0.6359999895095825, 0.6240000009536744, 0.6399999976158142, 0.6139999985694885, 0.6539999961853027, 0.6679999947547912, 0.6600000023841858, 0.5820000052452088, 0.6940000057220459, 0.6359999895095825];[37.584012508392334, 37.48564600944519, 38.58178114891052, 38.756756067276, 38.73087787628174, 38.79408311843872, 38.739851236343384, 38.86663269996643, 39.06930994987488, 39.19772982597351]
PTC_MR;20;0.5950000047683716;0.05567763656279686;8.389330458641052;0.38386408613993617;[0.5750000178813934, 0.550000011920929, 0.5999999940395355, 0.6000000238418579, 0.6749999821186066, 0.6000000238418579, 0.5, 0.5999999940395355, 0.550000011920929, 0.699999988079071];[8.017945528030396, 7.9796342849731445, 8.06899356842041, 8.157320261001587, 8.216339826583862, 8.393264532089233, 8.416388511657715, 8.55899977684021, 8.819350481033325, 9.26506781578064]
PTC_MR;50;0.5759804010391235;0.04234044595087298;8.07538480758667;0.35864232506453014;[0.5555555820465088, 0.5277777910232544, 0.5882353186607361, 0.5588235259056091, 0.5, 0.6176470518112183, 0.5882353186607361, 0.5588235259056091, 0.6176470518112183, 0.6470588445663452];[7.559045314788818, 7.657635927200317, 7.760044574737549, 7.909926176071167, 7.925659418106079, 8.094356060028076, 8.246142148971558, 8.387197732925415, 8.561734676361084, 8.652106046676636]
PTC_MR;100;0.5892156839370728;0.06193736946161475;10.874445843696595;0.34628310737058193;[0.7222222089767456, 0.6111111044883728, 0.6176470518112183, 0.5, 0.5588235259056091, 0.6176470518112183, 0.5588235259056091, 0.5, 0.6176470518112183, 0.5882353186607361];[10.765036582946777, 10.348827362060547, 10.565378427505493, 10.576410055160522, 10.708206415176392, 10.7931969165802, 11.004893064498901, 11.176013231277466, 11.291296005249023, 11.51520037651062]
PTC_FR;20;0.652499994635582;0.034369311598975584;12.920864152908326;0.5301272271523142;[0.6499999761581421, 0.699999988079071, 0.6500000059604645, 0.6499999761581421, 0.5999999940395355, 0.699999988079071, 0.6749999821186066, 0.675000011920929, 0.625, 0.6000000238418579];[12.088990449905396, 12.12977147102356, 12.396907567977905, 13.229597091674805, 12.72366738319397, 13.026674509048462, 13.113475322723389, 13.449029445648193, 13.411417722702026, 13.639110565185547]
PTC_FR;50;0.6780952572822571;0.03804758698064063;12.943022179603577;0.6903331642435871;[0.6666666865348816, 0.6571428775787354, 0.6285714507102966, 0.7142857313156128, 0.6571428775787354, 0.6571428775787354, 0.6857143044471741, 0.7714285850524902, 0.6571428775787354, 0.6857143044471741];[12.112655639648438, 12.360548257827759, 12.385696172714233, 12.570600032806396, 12.737735748291016, 12.957654476165771, 13.08372187614441, 13.205830812454224, 13.34140682220459, 14.67437195777893]
PTC_FR;100;0.6638095438480377;0.04386125048916827;16.430572175979613;0.6046487529700423;[0.6666666865348816, 0.6857143044471741, 0.6857143044471741, 0.5428571701049805, 0.6857143044471741, 0.6857143044471741, 0.6571428775787354, 0.7142857313156128, 0.6571428775787354, 0.6571428775787354];[15.58365273475647, 15.766704559326172, 15.812222719192505, 16.118957996368408, 16.242851972579956, 16.44340205192566, 16.680909395217896, 17.03807044029236, 17.366406679153442, 17.252543210983276]
